Regions,Category,Retailer,Product Description,Discount/Deal,Expiration,Source,Image URL,Notes
United States,Fashion,Free People,Very Merry 24-Hour Sale - Apparel & Accessories,20%-25% off purchases over $250/$500,"9 a.m. EST, Nov 16, 2024",https://www.freepeople.com/sale,https://www.glamour.com/freepeople-sale.jpg,"Flash sale, limited time"
United States,Accessories,Kate Spade Outlet,Staci PVC Large Tote Set,"Up to 78% off (e.g., $109 from $499)",Ends soon (limited stock),https://www.katespadeoutlet.com/products/staci-pvc-large-tote-set,https://www.southernliving.com/katespade-handbag.jpg,Early Black Friday offer
United States,Electronics,B&H Photo,Nikon Z6III Full-Frame Mirrorless Camera,$200 off,Early holiday promo,https://www.bhphotovideo.com/c/product/nikon-z6iii,https://www.wired.com/nikon-z6iii.jpg,Subject to stock availability
Global,Home Appliances,Amazon,Dyson Pure Hot and Cool Link Air Purifier,"$400 (from $630), up to 75% off",Ends soon (limited time),https://www.amazon.com/dp/B08LNWHJDY,https://www.people.com/dyson-air-purifier.jpg,Available in Amazon Overstock Outlet
United Kingdom,Entertainment,Sky,Stream TV & Netflix Bundle,£19/month (£168 off over 24 months),Part of early Black Friday,https://www.sky.com/deals/stream-tv-bundle,https://www.thesun.ie/sky-tv-netflix-bundle.jpg,Contract-based offer
Global,Home & Kitchen,Nordstrom,Le Creuset Dutch Oven,Over 40% off,"Ends Nov 21, 2024",https://www.nordstrom.com/s/le-creuset-dutch-oven,https://www.nymag.com/le-creuset-dutch-oven.jpg,Shop early for better stock availability
Global,Various,Amazon (Hidden Coupons),Assorted Products (Hidden Coupons),Up to 50% off,Ongoing,https://www.amazon.com/s?k=coupons,https://www.yahoo.com/amazon-coupons.jpg,Accessible via Amazon's hidden coupon page
Global,Electronics,Amazon (Early Deals),DeWalt Tool Set,Up to 49% off,Ongoing,https://www.amazon.com/dp/B07Y5CH7V3,https://www.nypost.com/dewalt-tool-set.jpg,Early Black Friday promos
United States,Electronics & Toys,Target,"Apple, Nintendo Switch, Xbox (Various Deals)",Varies per product,Ongoing,https://www.target.com/c/black-friday/-/N-5q0f2,https://www.target.com/apple-nintendo-switch.jpg,"Includes Apple, Xbox, and PlayStation 5 deals"
United States,Various,Walmart,"Tech, Home Goods, and More",Up to 70% off,Ongoing,https://www.walmart.com/cp/early-black-friday-deals/1076614,https://www.walmart.com/walmart-tech-deals.jpg,Early Black Friday offers
